Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
472763526,000000A8,false,Rx,0,8,75,94,1D,A1,82,64,18,0E,
472763769,00000107,false,Rx,0,8,00,00,F8,2C,01,00,4C,A6,
472763991,00000120,false,Rx,0,8,94,0A,00,02,01,08,FF,01,
472764226,00000121,false,Rx,0,8,F6,0A,00,40,37,5A,7E,FE,
472764481,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472765210,000000AF,false,Rx,0,4,83,70,F2,01,00,00,00,00,
472766191,00000086,false,Rx,0,8,41,04,2C,20,00,00,00,00,
472772737,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472772743,000000FD,false,Rx,0,8,6A,D9,1F,80,00,00,00,00,
472772748,00000116,false,Rx,0,8,BE,09,01,00,20,00,00,FF,
472772753,00000392,false,Rx,0,8,DB,2E,00,00,00,00,00,04,
472772759,0000031E,false,Rx,0,8,81,FE,3F,00,00,00,00,40,
472772764,0000032C,false,Rx,0,8,00,0F,00,00,98,24,00,00,
472772769,0000032F,false,Rx,0,8,00,FF,00,00,00,00,12,01,
472772775,00000040,false,Rx,0,8,BB,03,00,44,C1,00,00,00,
472772780,000000AD,false,Rx,0,8,35,E7,BF,FF,00,14,00,00,
472772785,00000463,false,Rx,0,8,00,E0,03,00,00,00,00,00,
472772791,000000AE,false,Rx,0,8,28,07,00,00,FF,3C,01,02,
472772796,000003DB,false,Rx,0,8,50,00,01,04,07,24,01,A2,
472772801,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
472772806,0000012D,false,Rx,0,8,06,84,7F,00,00,00,FE,3F,
472772812,000003C8,false,Rx,0,8,00,00,54,24,00,60,01,82,
472773310,000000A7,false,Rx,0,8,FC,05,E0,7F,FD,FD,97,3D,
472773544,000000A8,false,Rx,0,8,57,95,1D,A1,82,64,14,0E,
472775218,000000AF,false,Rx,0,4,83,71,F2,01,00,00,00,00,
472776183,00000086,false,Rx,0,8,25,05,2C,20,00,00,00,00,
472776451,0000012B,false,Rx,0,8,D3,42,40,28,00,00,00,00,
472777493,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472777782,00000101,false,Rx,0,8,21,0A,80,00,A2,03,00,00,
472778022,00000106,false,Rx,0,8,B1,0A,63,00,02,00,00,00,
472778276,0000011E,false,Rx,0,8,4D,0A,00,00,00,00,00,00,
472781297,000000AD,false,Rx,0,8,A2,E8,BF,FF,00,14,00,00,
472781553,000000AE,false,Rx,0,8,5F,08,00,00,FF,3C,01,02,
472781859,000003DD,false,Rx,0,8,48,04,10,18,FE,4F,0A,00,
472783253,0000030B,false,Rx,0,8,10,23,00,00,08,00,00,10,
472783492,000000A7,false,Rx,0,8,6F,06,E0,7F,FD,FD,97,3D,
472783733,000000A8,false,Rx,0,8,2F,96,1D,A1,82,64,18,0E,
472783977,00000107,false,Rx,0,8,00,00,F8,2C,01,00,4C,A6,
472784212,00000120,false,Rx,0,8,38,0B,00,02,01,08,FF,01,
472784455,00000121,false,Rx,0,8,5D,0B,00,40,37,5A,7E,FE,
472784694,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472785214,000000AF,false,Rx,0,4,83,72,00,00,00,00,00,00,
472786180,00000086,false,Rx,0,8,89,06,2C,20,00,00,00,00,
472792762,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472792767,000000FD,false,Rx,0,8,26,DA,1F,80,00,00,00,00,
