Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
980051313,00000779,false,Rx,0,8,05,62,2B,F3,04,00,AA,AA,
980091337,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980111087,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
980151352,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980171278,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
980198730,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
980211315,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980231352,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
980271277,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980292252,00000779,false,Rx,0,8,05,62,2B,F3,08,00,AA,AA,
980331306,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980351316,00000779,false,Rx,0,8,05,62,2B,F3,10,00,AA,AA,
980391356,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980411699,00000779,false,Rx,0,8,05,62,2B,F3,0E,00,AA,AA,
980451285,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980471588,00000779,false,Rx,0,8,05,62,2B,F3,08,00,AA,AA,
980511356,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980532050,00000779,false,Rx,0,8,05,62,2B,F3,06,00,AA,AA,
980571357,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980591992,00000779,false,Rx,0,8,05,62,2B,F3,0D,00,AA,AA,
980631313,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980651931,00000779,false,Rx,0,8,05,62,2B,F3,0F,00,AA,AA,
980691451,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980698706,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
980711861,00000779,false,Rx,0,8,05,62,2B,F3,16,00,AA,AA,
980751293,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980771824,00000779,false,Rx,0,8,05,62,2B,F3,17,00,AA,AA,
980811363,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980831786,00000779,false,Rx,0,8,05,62,2B,F3,25,00,AA,AA,
980871297,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980891778,00000779,false,Rx,0,8,05,62,2B,F3,37,00,AA,AA,
980931323,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
980952435,00000779,false,Rx,0,8,05,62,2B,F3,43,00,AA,AA,
980991337,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981012216,00000779,false,Rx,0,8,05,62,2B,F3,48,00,AA,AA,
981051366,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981072543,00000779,false,Rx,0,8,05,62,2B,F3,4B,00,AA,AA,
981111391,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981132469,00000779,false,Rx,0,8,05,62,2B,F3,48,00,AA,AA,
981171293,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981192834,00000779,false,Rx,0,8,05,62,2B,F3,34,00,AA,AA,
981198698,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
981231336,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981252738,00000779,false,Rx,0,8,05,62,2B,F3,24,00,AA,AA,
981321376,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981342471,00000779,false,Rx,0,8,05,62,2B,F3,33,00,AA,AA,
981381390,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981402875,00000779,false,Rx,0,8,05,62,2B,F3,44,00,AA,AA,
981441292,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981462832,00000779,false,Rx,0,8,05,62,2B,F3,4E,00,AA,AA,
981501310,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981523198,00000779,false,Rx,0,8,05,62,2B,F3,53,00,AA,AA,
981561330,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981583179,00000779,false,Rx,0,8,05,62,2B,F3,56,00,AA,AA,
981621364,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981643166,00000779,false,Rx,0,8,05,62,2B,F3,56,00,AA,AA,
981681353,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981698699,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
981703129,00000779,false,Rx,0,8,05,62,2B,F3,54,00,AA,AA,
981741351,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
